n_params	params	my_signal_loss	monai_signal_loss	my_time	monai_time
1	['translate_params']	528.14886	528.14465	0.4704470634460449	0.8886408805847168
1	['rotate_params']	345.56183	345.56183	0.5237011909484863	0.5121011734008789
1	['rotate_params']	342.0557	342.0557	0.572166919708252	0.5605409145355225
1	['flip_params']	0.0	0.0	0.006718873977661133	0.002789735794067383
1	['rotate_params']	347.95325	347.9532	0.5699717998504639	0.5507190227508545
1	['shear_params']	362.63693	362.63702	0.471782922744751	0.9617757797241211
1	['scale_params']	287.29745	703.715	0.4621748924255371	0.35451483726501465
1	['rotate_params']	346.37378	346.37375	0.6889150142669678	0.636664867401123
1	['rotate_params']	345.4979	345.49783	0.5051651000976562	0.4794182777404785
1	['shear_params']	361.05548	361.05548	0.5170180797576904	0.988429069519043
1	['rotate_params']	342.22778	342.22772	0.4887549877166748	0.4810769557952881
1	['translate_params']	458.6958	458.69986	0.46616601943969727	0.9448447227478027
1	['scale_params']	411.00845	748.58234	0.4610109329223633	0.301145076751709
1	['flip_params']	5.5946276e-07	2.0300288e-07	0.46854591369628906	0.01116800308227539
1	['shear_params']	364.33896	364.33896	0.47757482528686523	0.9583568572998047
1	['shear_params']	362.84076	362.84073	0.5053019523620605	0.9400200843811035
1	['translate_params']	390.62143	390.62067	0.47475504875183105	0.9454350471496582
1	['rotate_params']	344.7151	344.71515	0.5246090888977051	0.5361979007720947
1	['flip_params']	3.4927888e-07	4.301584e-08	0.47117185592651367	0.007898092269897461
1	['rotate_params']	346.40903	346.40897	0.5687379837036133	0.525460958480835
1	['translate_params']	1189.2081	1189.2048	0.4602499008178711	0.8202998638153076
1	['translate_params']	360.0043	360.00632	0.4731171131134033	0.9463920593261719
1	['rotate_params']	346.04285	346.04282	0.5316319465637207	0.49562501907348633
2	['scale_params', 'shear_params']	350.9758	826.986	0.4965221881866455	1.162842035293579
2	['flip_params', 'shear_params']	362.90036	362.90036	0.4817230701446533	0.9432487487792969
2	['flip_params', 'rotate_params']	344.17792	344.17804	0.5324850082397461	0.5252511501312256
2	['rotate_params', 'translate_params']	352.15472	555.14703	0.5396039485931396	1.403217077255249
2	['flip_params', 'scale_params']	364.91214	752.6869	0.4610280990600586	0.34042859077453613
2	['translate_params', 'scale_params']	414.2113	888.21594	0.4593830108642578	1.0368399620056152
2	['flip_params', 'rotate_params']	353.58395	353.58398	0.4701719284057617	0.48459696769714355
2	['shear_params', 'translate_params']	369.87442	655.17645	0.4686861038208008	1.464660882949829
