n_params,,my_signal_loss,monai_signal_loss,my_time,monai_time,,,,
3,['translate_params', 'shear_params', 'flip_params'],370.49405,475.6465,0.458060026,1.478237867,,
3,['rotate_params', 'translate_params', 'scale_params'],378.7197,1486.8618,0.47665,1.515456676,,
3,['rotate_params', 'shear_params', 'flip_params'],354.55673,555.6044,0.490653992,1.083709955,,
3,['translate_params', 'flip_params', 'scale_params'],308.26416,753.57385,0.459892988,1.102327108,,
3,['rotate_params', 'translate_params', 'flip_params'],342.5428,556.3254,0.494558096,1.341644049,,
3,['rotate_params', 'shear_params', 'flip_params'],347.1409,554.41626,0.606156111,1.148267984,,
3,['shear_params', 'translate_params', 'rotate_params'],352.79608,672.66864,0.45966506,1.943265915,,
3,['translate_params', 'scale_params', 'rotate_params'],641.2008,1005.6272,0.48570013,1.643998146,,
3,['rotate_params', 'flip_params', 'translate_params'],348.25595,632.4312,0.49417901,1.378666639,,
3,['translate_params', 'flip_params', 'shear_params'],363.89038,665.909,0.465869904,1.477304935,,
3,['shear_params', 'flip_params', 'rotate_params'],347.54504,737.5183,0.544300795,1.113661051,,
3,['scale_params', 'translate_params', 'flip_params'],421.3544,833.1528,0.454355001,1.103970051,,
3,['shear_params', 'translate_params', 'scale_params'],415.00244,971.48376,0.45999074,1.640641928,,
3,['translate_params', 'flip_params', 'rotate_params'],350.11746,554.10443,0.457614183,1.391341209,,
3,['flip_params', 'shear_params', 'rotate_params'],346.5604,555.24225,0.565425873,1.195777655,,
3,['rotate_params', 'shear_params', 'flip_params'],347.44403,554.90393,0.48663497,1.097509146,,
3,['shear_params', 'rotate_params', 'scale_params'],316.4843,875.17664,0.613386154,1.34348011,,
3,['flip_params', 'translate_params', 'scale_params'],393.20197,818.84247,0.451754093,1.121178865,,
3,['scale_params', 'rotate_params', 'flip_params'],365.3614,838.221,0.515646935,0.633874178,,
3,['shear_params', 'rotate_params', 'scale_params'],360.3942,916.56836,0.459385157,1.190006971,,
3,['rotate_params', 'shear_params', 'scale_params'],369.1879,944.59186,0.483242035,1.247776985,,
3,['scale_params', 'flip_params', 'rotate_params'],830.89685,1243.8616,0.463215113,0.678282976,,
3,['flip_params', 'translate_params', 'scale_params'],368.9381,820.2761,0.466555119,1.102133989,,
3,['shear_params', 'flip_params', 'rotate_params'],355.9218,562.34564,0.531888962,1.1010921,,
3,['shear_params', 'flip_params', 'scale_params'],330.76443,784.17694,0.475977898,1.134898186,,
3,['translate_params', 'rotate_params', 'flip_params'],340.52344,623.40826,0.52295804,1.413661003,,
3,['scale_params', 'flip_params', 'shear_params'],341.38504,810.85144,0.458909273,1.155375004,,
3,['flip_params', 'shear_params', 'rotate_params'],355.3193,558.08936,0.513550043,1.084368944,,
3,['rotate_params', 'flip_params', 'scale_params'],398.85803,827.6458,0.467372894,0.70397687,,
3,['translate_params', 'rotate_params', 'flip_params'],350.50925,481.9044,0.761942148,1.606066942,,
3,['scale_params', 'flip_params', 'rotate_params'],603.6992,1091.1133,0.501558065,0.687813997,,
3,['rotate_params', 'shear_params', 'scale_params'],378.1039,950.70215,0.543140173,1.23424077,,
3,['shear_params', 'scale_params', 'rotate_params'],364.7644,932.5669,0.456009388,1.171278715,,
3,['flip_params', 'scale_params', 'shear_params'],372.62247,822.17523,0.497188807,1.089632034,,
3,['shear_params', 'flip_params', 'scale_params'],367.84314,830.91,0.475941896,1.122347593,,
3,['scale_params', 'shear_params', 'flip_params'],407.15387,839.3928,0.470598936,1.092720985,,
3,['rotate_params', 'translate_params', 'shear_params'],2124.5789,2604.0444,0.496346235,1.930746078,,
3,['shear_params', 'flip_params', 'translate_params'],361.3384,535.7643,0.459724903,1.513983011,,
3,['scale_params', 'flip_params', 'rotate_params'],2933.158,3102.7578,0.483822823,0.738949776,,
3,['shear_params', 'scale_params', 'translate_params'],362.6884,923.9111,0.473209143,1.710875988,,
3,['translate_params', 'shear_params', 'rotate_params'],794.50726,1073.3655,0.45937705,1.999405146,,
3,['rotate_params', 'shear_params', 'translate_params'],344.427,702.0125,0.571401834,2.043330908,,
3,['shear_params', 'rotate_params', 'scale_params'],425.86426,985.14453,0.499097109,1.17313695,,
3,['flip_params', 'shear_params', 'translate_params'],361.02145,506.21762,0.517025709,1.559327126,,
4,['shear_params', 'flip_params', 'translate_params', 'rotate_params'],836.086,1330.8961,0.495319843,2.000616074,
4,['shear_params', 'translate_params', 'rotate_params', 'scale_params'],404.7729,1180.6815,0.456604004,2.088243961,
4,['flip_params', 'shear_params', 'scale_params', 'translate_params'],355.58353,898.724,0.479471922,1.623565912,
4,['scale_params', 'flip_params', 'shear_params', 'rotate_params'],335.73145,923.7097,0.475409031,1.284471989,
4,['rotate_params', 'translate_params', 'flip_params', 'shear_params'],356.0202,730.13,0.529458761,1.942954063,
4,['translate_params', 'flip_params', 'rotate_params', 'shear_params'],352.45404,664.2541,0.555905819,2.040555,
4,['scale_params', 'flip_params', 'shear_params', 'rotate_params'],361.70184,949.06146,0.458410978,1.237684011,
4,['shear_params', 'flip_params', 'rotate_params', 'translate_params'],559.19415,1056.475,0.504407167,2.04607892,
4,['scale_params', 'rotate_params', 'flip_params', 'shear_params'],358.74832,930.2387,0.511438131,1.185974121,
4,['translate_params', 'flip_params', 'scale_params', 'rotate_params'],306.83475,882.0191,0.474529743,1.601832867,
4,['rotate_params', 'flip_params', 'scale_params', 'translate_params'],362.8491,937.86285,0.488499403,1.614849806,
4,['rotate_params', 'shear_params', 'scale_params', 'translate_params'],8987.748,8970.634,0.529761076,2.16527009,
4,['flip_params', 'rotate_params', 'translate_params', 'scale_params'],364.5403,943.11835,0.496219158,1.509418011,
4,['flip_params', 'scale_params', 'translate_params', 'rotate_params'],2968.035,3385.8628,0.489986181,1.59779501,
4,['translate_params', 'scale_params', 'shear_params', 'rotate_params'],373.67273,1059.3557,0.519579887,2.168593884,
4,['flip_params', 'rotate_params', 'scale_params', 'shear_params'],411.4127,947.1291,0.528845072,1.30127883,
4,['scale_params', 'rotate_params', 'flip_params', 'shear_params'],368.23465,939.3186,0.493704796,1.330129862,
4,['flip_params', 'scale_params', 'shear_params', 'rotate_params'],392.24023,826.41595,0.467256069,1.187443256,
